Supercharger,Street Address,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Boise, ID",1426 S Entertainment Ave,Boise,ID,83709,USA,8,"43.591886, -116.279015",838,Open,2015-08-07,SC,thread
"Oklahoma City, OK",7624 West Reno Ave #380,Oklahoma City,OK,,USA,8,"35.461704, -97.651445",372,Open,2015-07-31,SC,thread
"Trinidad, CO",9960 Santa Fe Trail,Trinidad,CO,81082,USA,6,"37.134228, -104.519962","1,933",Open,2015-07-30,SC,thread
"Duluth, MN",200 W 1st St,Duluth,MN,55802,USA,4,"46.784467, -92.10232",200,Open,2015-07-17,SC,thread
"West Lebanon, NH",285 N Plainfield Rd #1,West Lebanon,NH,3784,USA,8,"43.624616, -72.324692",104,Open,2015-07-17,SC,thread
"Sheridan, WY",612 North Main St,Sheridan,WY,82801,USA,4,"44.804565, -106.956363","1,136",Open,2015-07-15,SC,thread
"San Mateo, CA",1200 Park Pl,San Mateo,CA,94403,USA,8,"37.544632, -122.290188",3,Open,2015-07-10,SC,thread
"Houston, TX",14820 North Freeway,Houston,TX,77090,USA,6,"29.980741, -95.421697",31,Open,2015-07-09,SC,thread
"Cranbury, NJ",Molly Pitcher Service Area,Cranbury,NJ,8512,USA,4,"40.321021, -74.488254",36,Open,2015-07-09,SC,thread
"Nashville, TN",1641 Westgate Circle,Brentwood,TN,37027,USA,6,"35.969209, -86.804641",226,Open,2015-07-08,SC,thread
"Grand Rapids, MI",5531 28th St SE,Grand Rapids,MI,49512,USA,8,"42.915523, -85.533929",227,Open,2015-06-25,SC,thread
"Baker City, OR",1 Sunridge Ln,Baker City,OR,97814,USA,8,"44.782849, -117.812422","1,044",Open,2015-06-25,SC,thread
"Newburgh, NY",1217 Route 300,Newburgh,NY,12550,USA,6,"41.499775, -74.071261",104,Open,2015-06-23,SC,thread
"East Brunswick, NJ","Joyce Kilmer Service Area, New Jersey Turnpike",East Brunswick,NJ,8816,USA,4,"40.41701, -74.444085",37,Open,2015-06-19,SC,thread
"Buffalo, NY",4455 Transit Road,Buffalo,NY,14221,USA,8,"42.968673, -78.696128",213,Open,2015-06-11,SC,thread
"Mountain View, CA",1401 N Shoreline Blvd,Mountain View,CA,94043,USA,12,"37.415344, -122.076607",6,Open,2015-06-10,SC,thread
"San Diego, CA",10105 Pacific Heights Blvd,San Diego,CA,92121,USA,12,"32.902137, -117.193489",88,Open,2015-06-08,SC,thread
"Cincinnati, OH","9111 Blue Ash, Rd.",Cincinnati,OH,45242,USA,8,"39.224429, -84.383415",258,Open,2015-06-05,SC,thread
"Pendleton, OR",46510 Wildhorse Blvd,Pendleton,OR,97801,USA,8,"45.648679, -118.678968",437,Open,2015-05-28,SC,thread
"Knoxville, TN",11038 Parkside Dr,Knoxville,TN,37934,USA,8,"35.90229, -84.150775",286,Open,2015-05-27,SC,thread
"Cleveland, Tesla Service Center",5180 Mayfield Road,Lyndhurst,OH,44124,USA,1,"41.519027, -81.493345",314,Open,2015-05-09,SC,thread
"Marathon, FL",9400 Overseas Highway,Marathon,FL,33050,USA,4,"24.725172, -81.051135",1,Open,2015-05-02,SC,thread
"Tucumcari, NM",2624 South Adams St,Tucumcari,NM,88401,USA,6,"35.153963, -103.722539","1,253",Open,2015-04-21,SC,thread
"Mobile, AL",3201 Airport Blvd,Mobile,AL,36606,USA,8,"30.675347, -88.11901",6,Open,2015-04-16,SC,thread
"Syracuse, NY","439 Electronics Parkway,",Liverpool,NY,13088,USA,8,"43.102516, -76.187475",123,Open,2015-04-16,SC,thread
"St. Charles, MO",2021 Zumbehl Rd,St. Charles,MO,63303,USA,5,"38.782139, -90.532862",149,Open,2015-04-15,SC,thread
"Perry, OK",2812 Fir St,Perry,OK,73077,USA,6,"36.289315, -97.325935",330,Open,2015-04-15,SC,thread
"Tremonton, UT",Hampton Inn 2145 W Main St,Tremonton,UT,84337,USA,6,"41.70995, -112.198576","1,317",Open,2015-04-01,SC,thread
"Effingham, IL",1200 North Keller Dr,Effingham,IL,62401,USA,6,"39.137048, -88.563736",184,Open,2015-03-28,SC,thread
"Mojave, CA",Anthony's Grill 16940 California 14 Hwy 14,Mojave,CA,93501,USA,6,"35.068595, -118.174576",866,Open,2015-03-27,SC,thread
"Riviera Beach, FL",4651 Dyer Blvd,Riviera Beach,FL,33407,USA,8,"26.778172, -80.112944",4,Open,2015-03-21,SC,thread
"Inyokern, CA",1353 Brown Rd,Inyokern,CA,93527,USA,4,"35.646461, -117.812629",742,Open,2015-03-20,SC,thread
"Santa Rosa, NM",2516 Historic Rt 66,Santa Rosa,NM,88435,USA,6,"34.947013, -104.647997","1,440",Open,2015-03-13,SC,thread
"Ardmore, OK",322 Holiday Dr,Ardmore,OK,73401,USA,6,"34.179106, -97.165632",259,Open,2015-03-13,SC,thread
"Weatherford, OK",1301 N Airport Rd by Lucille's Roadhouse,Weatherford,OK,73096,USA,6,"35.53859, -98.66012",485,Open,2015-03-11,SC,thread
"Council Bluffs, IA",3815 Metro Dr,Council Bluffs,IA,51501,USA,8,"41.220005, -95.836123",301,Open,2015-03-11,SC,thread
"Salt Lake City, UT",2312 S State St,Salt Lake City,UT,84115,USA,10,"40.7209, -111.888395","1,297",Open,2015-03-06,SC,thread
"Coeur d'Alene, ID",3458 N Fruitland Ln,Coeur d'Alene,ID,83815,USA,6,"47.708479, -116.794283",685,Open,2015-03-04,SC,thread
"Tooele, UT",1568 East Saddleback Blvd,Tooele,UT,84074,USA,6,"40.684486, -112.268818","1,290",Open,2015-02-25,SC,thread
"Charlotte, NC",2720 Mallard Creek Church RD,Charlotte,NC,28262,USA,8,"35.341213, -80.766023",232,Open,2015-02-25,SC,thread
"Rocklin (SC), CA",4361 Granite Drive,Rocklin,CA,95677,USA,8,"38.800537, -121.210485",98,Open,2015-02-20,SC,thread
"Shamrock, TX",107 East 12th St,Shamrock,TX,79079,USA,6,"35.226765, -100.24836",704,Open,2015-02-20,SC,thread
"Winnemucca, NV",1985 W. Winnemucca Blvd,Winnemucca,NV,89445,USA,4,"40.958847, -117.746497","1,308",Open,2015-02-18,SC,thread
"Independence, MO",18001 Bass Pro Drive,Independence,MO,64055,USA,6,"39.040814, -94.369265",245,Open,2015-02-17,SC,thread
"West Springfield, MA",935 Riverdale St,West Springfield,MA,1089,USA,8,"42.130914, -72.621435",17,Open,2015-02-14,SC,thread
