Supercharger,Street Address,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Holbrook, AZ",2096 Navajo Blvd,Holbrook,AZ,86025,USA,4,"34.922962, -110.145558","1,596",Open,2014-01-15,SC,thread
"Savannah, GA",400 Airways Avenue,Savannah,GA,31408,USA,6,"32.135507, -81.212767",6,Open,2014-01-15,SC,thread
"Madison, WI",89 E Towne Mall,Madison,WI,53704,USA,3,"43.12669, -89.306896",267,Open,2014-01-13,SC,thread
"Blanding, UT",12 N Grayson Pkwy,Blanding,UT,84511,USA,4,"37.625553, -109.473842","1,849",Open,2014-01-13,SC,thread
"Maumee, OH",1391 Conant Street,Maumee,OH,43537,USA,6,"41.57835, -83.66465",192,Open,2014-01-13,SC,thread
"Farmington, NM",4200 Sierra Vista Dr,Farmington,NM,87402,USA,4,"36.766371, -108.144047","1,673",Open,2014-01-10,SC,thread
"Flagstaff, AZ",2650 S Beulah Blvd,Flagstaff,AZ,86001,USA,4,"35.174272, -111.66328","2,106",Open,2014-01-10,SC,thread
"Somerset, PA",1030 North Center Avenue,Somerset,PA,15501,USA,6,"40.017383, -79.077117",640,Open,2014-01-10,SC,thread
"Grand Junction, CO",2420 U.S. 6,Grand Junction,CO,81505,USA,6,"39.090758, -108.604325","1,386",Open,2014-01-10,SC,thread
"Gallup, NM",111 Twin Buttes Rd,Gallup,NM,87301,USA,4,"35.505278, -108.828094","1,970",Open,2014-01-07,SC,thread
"East Greenwich, RI",1000 Division St,East Greenwich,RI,2818,USA,8,"41.660517, -71.497242",73,Open,2014-01-06,SC,forum
"La Crosse, WI",2845 Midwest Dr,Onalaska,WI,54650,USA,6,"43.879042, -91.188428",219,Open,2014-01-05,SC,thread
"St Augustine, FL","2700 State Road 16, Suite 200",St. Augustine,FL,32092,USA,6,"29.920735, -81.416337",14,Open,2014-01-03,SC,thread
"Murdo, SD",302 W 5th St,Murdo,SD,57559,USA,4,"43.886915, -100.716887",691,Open,2013-12-31,SC,thread
"Santee, SC",114 Bradford Blvd.,Santee,SC,29142,USA,6,"33.485858, -80.475763",39,Open,2013-12-27,SC,thread
"JFK Airport, NY",150th Ave and 147th St,Queens,NY,11430,USA,4,"40.66319, -73.793192",3,Open,2013-12-23,SC,thread
"Ellensburg, WA",1620 Canyon Rd,Ellensburg,WA,98926,USA,5,"46.976918, -120.54162",454,Open,2013-12-23,SC,thread
"Detroit Lake, OR",210 D Street,Detroit,OR,97342,USA,6,"44.737025, -122.152108",492,Open,2013-12-23,SC,forum
"Highland Park (SC), IL",1200 Old Skokie Road,Highland Park,IL,60035,USA,4,"42.17434, -87.816626",195,Open,2013-12-20,SC,thread
"Lusk, WY",730 S. Main St,Lusk,WY,82225,USA,4,"42.75625, -104.45267","1,529",Open,2013-12-19,SC,thread
"Vacaville, CA",321 Nut Tree RD,Vacaville,CA,95687,USA,8,"38.366645, -121.958136",34,Open,2013-12-19,SC,thread
"Mitchell, SD",1305 W. Havens Street,Mitchell,SD,57301,USA,6,"43.701129, -98.0445",410,Open,2013-12-18,SC,forum
"Worthington, MN",1290 Ryan's Rd,Worthington,MN,56187,USA,6,"43.63385, -95.595647",478,Open,2013-12-11,SC,thread
"Mishawaka, IN",6501 Grape Rd,Mishawaka,IN,46545,USA,6,"41.7174, -86.1887",234,Open,2013-12-11,SC,thread
"Angola, IN",3855 Indiana Rte 127,Angola,IN,46703,USA,6,"41.699048, -85.000326",329,Open,2013-12-09,SC,thread
"Mauston, WI",640 Mc Evoy St,Mauston,WI,53948,USA,6,"43.795551, -90.059358",265,Open,2013-12-09,SC,forum
"St. Joseph, MI",3260 Niles Rd,St. Joseph,MI,49085,USA,8,"42.056357, -86.456352",210,Open,2013-11-26,SC,thread
"Rapid City, SD",2200 N. Maple Ave,Rapid City,SD,57701,USA,4,"44.105601, -103.212569","1,006",Open,2013-11-25,SC,forum
"Huntsville, TX",148 Interstate 45,Huntsville,TX,77340,USA,6,"30.716158, -95.565944",123,Open,2013-11-20,SC,forum
"Folsom, CA",13000 Folsom Blvd,Folsom,CA,95630,USA,4,"38.64258, -121.18806",63,Open,2013-11-19,SC,forum
"Corsicana, TX",2035 Interstate 45 Frontage Rd,Corsicana,TX,75109,USA,6,"32.068577, -96.448229",132,Open,2013-11-15,SC,forum
"Quartzsite, AZ",1451 W Main St,Quartzsite,AZ,85346,USA,8,"33.661314, -114.242174",280,Open,2013-11-14,SC,forum
"Rocky Mount, NC",651 N. Winstead Avenue,Rocky Mount,NC,27804,USA,8,"35.972874, -77.84687",40,Open,2013-11-08,SC,thread
"Springfield, OR",919 Kruse Way,Springfield,OR,97477,USA,8,"44.082605, -123.037471",133,Open,2013-11-02,SC,forum
"Glen Allen, VA",9860 Brook Rd,Glen Allen,VA,23059,USA,8,"37.669832, -77.461419",49,Open,2013-10-24,SC,forum
"Mt Shasta, CA",111 Morgan Way,Mt. Shasta,CA,96067,USA,4,"41.310233, -122.317278","1,066",Open,2013-10-23,SC,forum
"Grants Pass, OR",1900 NW 6th St.,Grants Pass,OR,97526,USA,4,"42.460883, -123.324124",335,Open,2013-10-22,SC,forum
"Corning, CA",950 Hwy 99,Corning,CA,96021,USA,6,"39.926454, -122.198393",87,Open,2013-10-18,SC,forum
"Burlington, NC",1080 Piper Ln,Burlington,NC,27215,USA,8,"36.07079, -79.511211",197,Open,2013-10-16,SC,thread
"Columbus, TX",2535 Texas 71,Columbus,TX,78934,USA,6,"29.690062, -96.537725",57,Open,2013-10-07,SC,forum
"Silverthorne, CO",309 Rainbow Dr,Silverthorne,CO,80498,USA,8,"39.631457, -106.070816","2,670",Open,2013-10-03,SC,forum
"Glenwood Springs, CO",125 Wulfsohn Rd,Glenwood Springs,CO,81601,USA,6,"39.55268, -107.340168","1,762",Open,2013-09-17,SC,thread
"Port Orange, FL",5302 S. Williamson Blvd,Port Orange,FL,32128,USA,6,"29.108566, -81.034569",7,Open,2013-09-13,SC,forum
"Rockford, IL",7200 Harrison Ave,Rockford,IL,61112,USA,6,"42.243896, -88.978877",238,Open,2013-09-12,SC,thread
"Waco, TX",701 Interstate 35,Bellmead,TX,76705,USA,8,"31.58224, -97.10915",124,Open,2013-09-07,SC,forum
"Woodburn, OR",255 N Arney Rd,Woodburn,OR,97071,USA,8,"45.15313, -122.881254",56,Open,2013-08-28,SC,forum
"San Marcos, TX",3939 Interstate 35,San Marcos,TX,78666,USA,5,"29.827692, -97.979677",202,Open,2013-08-20,SC,forum
"Fremont, CA",45500 Fremont Blvd,Fremont,CA,94538,USA,12,"37.493447, -121.945654",6,Open,2013-08-16,SC,thread
"Fort Myers, FL",9903 Gulf Coast Main Street,Fort Myers,FL,33913,USA,8,"26.48564, -81.787136",6,Open,2013-07-25,SC,forum
"Port St. Lucie, FL",1773 N.W. St. Lucie W. Boulevard,Port St. Lucie,FL,34986,USA,8,"27.313023, -80.406688",8,Open,2013-07-24,SC,forum
"Centralia, WA",1200 Lum Rd,Centralia,WA,98531,USA,10,"46.729732, -122.977454",56,Open,2013-07-17,SC,forum
"Burlington, WA",9384 Old Highway 99,Burlington,WA,98233,USA,8,"48.509772, -122.338625",7,Open,2013-07-13,SC,forum
"Buellton, CA",555 McMurray RD,Buellton,CA,93427,USA,8,"34.61456, -120.188387",114,Open,2013-07-13,SC,forum
"Atascadero, CA",6950 El Camino Real,Atascadero,CA,93422,USA,8,"35.48656, -120.66633",262,Open,2013-07-03,SC,forum
"Normal, IL",Uptown Station Parking Deck 11 Uptown Circle,Normal,IL,61761,USA,4,"40.508497, -88.985575",236,Open,2013-06-26,SC,thread
"Darien, CT (south)",I-95 South after exit 10,Darien,CT,6820,USA,4,"41.068167, -73.504659",14,Open,2013-06-19,SC,forum
"Darien, CT (north)",Connecticut Welcome Center,Darien,CT,6820,USA,4,"41.080599, -73.461905",13,Open,2013-06-19,SC,forum
"Newark, DE",530 JFK Memorial Highway,Newark,DE,19725,USA,12,"39.662313, -75.69198",18,Open,2012-12-21,SC,thread
"Milford, CT (south)",1 CT Turnpike S,Milford,CT,6460,USA,2,"41.246232, -73.010529",19,Open,2012-12-16,SC,forum
"Milford, CT (north)",1 CT Turnpike N,Milford,CT,6460,USA,2,"41.245814, -73.008988",19,Open,2012-12-16,SC,forum
"Tejon Ranch, CA",5602 Dennis McCarthy Dr,Lebec,CA,93243,USA,6,"34.98734, -118.94623",337,Open,2012-11-19,SC,forum
"Hawthorne, CA",1 Rocket Rd,Hawthorne,CA,90250,USA,12,"33.921068, -118.330054",18,Open,2012-11-19,SC,forum
"Harris Ranch, CA",24505 W. Dorris Ave,Coalinga,CA,93210,USA,10,"36.25415, -120.237896",139,Open,2012-11-19,SC,thread
"Gilroy, CA",681 Leavesley Road,Gilroy,CA,95020,USA,10,"37.02493, -121.56542",63,Open,2012-11-19,SC,forum
"Barstow, CA",2812 Lenwood Rd,Barstow,CA,92311,USA,8,"34.849129, -117.085446",725,Open,2012-11-19,SC,thread
"Bay City, MI",2980 Wilder Road,Bay City,MI,48706,USA,8,"43.622754, -83.935306",181,Permit,,SC,thread
"West Des Moines, IA",1725 Jordan Creek Parkway,West Des Moines,IA,50266,USA,8,"41.599001, -93.806334",300,Permit,,SC,thread
"Napa, CA",Devlin Rd & Airport Blvd,Napa,CA,94558,USA,8,"38.2356, -122.264",15,Construction,,SC,thread
"Fremont-2, CA",47400 Kato Rd,Fremont,CA,,USA,20,"37.479048, -121.933194",7,Construction,,SC,thread
"Temecula, CA",40780 Ring Rd,Temecula,CA,92591,USA,10,"33.523222, -117.153291",324,Construction,,SC,thread
"Southampton, NY",850 Southampton Bypass,Southampton,NY,11968,USA,8,"40.891923, -72.426968",14,Construction,,SC,thread
"Lindale, TX",Collin Street Bakery 17044 I-20,Lindale,TX,75771,USA,8,"32.470768, -95.450547",167,Construction,,SC,thread
"Harrisburg, PA",3915 Union Deposit Road,Harrisburg,PA,17109,USA,8,"40.276987, -76.823224",145,Construction,,SC,thread
"Erie, PA",2225 Downs Dr,Erie,PA,16509,USA,8,"42.049473, -80.086281",358,Construction,,SC,thread
"Shreveport, LA",1133 St. Vincent Ave,Shreveport,LA,71104,USA,8,"32.478813, -93.754363",59,Construction,,SC,thread
"Pocatello, ID",Clarion Inn is 1399 Bench Rd,Pocatello,ID,83201,USA,6,"42.899575, -112.434602","1,409",Construction,,SC,thread
"Idaho Falls, ID",1490 Milligan Road,Idaho Falls,ID,,USA,6,"43.48473, -112.05128","1,426",Construction,,SC,thread
"Plattsburgh, NY",60 Smithfield Blvd,Plattsburgh,NY,12901,USA,8,"44.704568, -73.491787",94,Construction,,SC,thread
"Laurel, MD",14700 Baltimore Ave,Laurel,MD,20707,USA,8,"39.09506, -76.858193",55,Construction,,SC,thread
"Crescent City, CA",1064 Front St,Crescent City,CA,95531,USA,6,"41.752546, -124.194827",4,Permit,,SC,thread
"Santa Barbara, CA",400 Hitchcock Way,Santa Barbara,CA,93105,USA,8,"34.433391, -119.745638",50,Permit,,SC,thread
"Placerville, CA",1200 Broadway,Placerville,CA,95667,USA,6,"38.730986, -120.787437",581,Permit,,SC,thread
"Tonopah, NV",201 N. Main St.,Tonopah,NV,89049,USA,6,"38.069725, -117.232258","1,834",Permit,,SC,thread
"Catoosa, OK",19250 Timbercrest Cir,Catoosa,OK,74015,USA,6,"36.167306, -95.766217",209,Permit,,SC,thread
"Eureka, CA","Bayshore Mall, 3300 Broadway St",Eureka,CA,95501,USA,8,"40.778787, -124.188448",6,Permit,,SC,thread
"Sulphur Springs, TX",300 Block of Tomlinson St,Sulphur Springs,TX,75482,USA,8,"33.137078, -95.603048",151,Permit,,SC,thread
"Rolla, MO",1705 Martin Spring Dr,Rolla,MO,65401,USA,8,"37.939955, -91.802578",293,Permit,,SC,thread
"Peru, IL",1651 Midtown Rd,Peru,IL,61354,USA,8,"41.347767, -89.126105",195,Permit,,SC,thread
"Santa Ana, CA",2800 N Main St,Santa Ana,CA,92705,USA,12,"33.776011, -117.872176",47,Permit,,SC,thread
"Lima, MT","108 Bailey St,",Lima,MT,59739,USA,6,"44.632745, -112.591203","1,912",Permit,,SC,thread
"Groveland, CA",11875 Ponderosa Ln,Groveland,CA,95321,USA,4,"37.8388, -120.2319",865,Permit,,SC,thread
"Cisco, TX",16851 Interstate Highway 20,Cisco,TX,76437,USA,6,"32.373757, -99.008653",513,Permit,,SC,thread
"Lee, MA",10 Pleasant Street,Lee,MA,1238,USA,8,"42.295581, -73.239888",267,Permit,,SC,thread
"Sweetwater, TX",300 SE Georgia Ave,Sweetwater,TX,79556,USA,8,"32.451357, -100.392278",660,Permit,,SC,thread
"Springfield, MO",3050 North Kentwood St,Springfield,MO,65803,USA,8,"37.253227, -93.265842",398,Permit,,SC,thread
"Alexandria, LA",701 4th St.,Alexandria,LA,71301,USA,6,"31.312501, -92.447187",23,Permit,,SC,thread
"Meridian, MS",1210 Bonita Lakes Drive,Meridian,MS,39301,USA,8,"32.35748, -88.667805",122,Permit,,SC,thread
